Team,Wins,Losses,PythWins,PF,PA,2PA,2P%,3PA,3P%,o2P%,o3P%,PP100,oPP100,Age,DRate,ORate,Pace,eFG%,deFG%,NetRTG,PIE,AST/TO,TS%,PERAdd,PERLoss,oRPMAdd,dRPMadd,oRPMLoss,dRPMLoss,TankIncent,NumStar,NYWins,NYNetRate,NYPIE,NYELO,NYoRT,NYdRT,NY3PA,NY3PP,NYPace
2015 Lakers,17,65,17,97.3,106.9,60.2,0.454,24.6,0.317,0.524,0.347,101.6,111.6,26.5,101.6,111.6,95.6,0.46,0.523,-9.6,42.4,1.31,50.9,20,20,-0.5,-0.5,-0.5,-0.5,3,0,26,-6.9,44.6,1367,103.4,110.6,25.7,0.346,98.5
2015 Grizzlies,42,40,35,99.1,101.3,65.1,0.471,18.5,0.331,0.503,0.365,105.4,107.8,30.5,105.4,107.8,93.3,0.477,0.518,-2.2,48.3,1.56,52.4,20,15,-1.66,1.62,-0.5,-0.5,0,2,43,0.5,50.1,1482,104.7,104.5,26.5,0.354,92.3
2015 Heat,48,34,46,100,98.4,63.6,0.508,18,0.336,0.474,0.347,106.1,104.4,28.4,106.1,104.4,93.6,0.508,0.485,1.6,52.5,1.48,54.5,10,10,-2.51,-1.61,-0.5,-0.5,2,0,41,1.1,50,1569,105.2,104.1,27,0.365,95.2
2015 Bucks,33,49,29,99,103.2,66.6,0.495,15.6,0.345,0.502,0.352,104.3,108.7,23.5,104.3,108.7,94.2,0.499,0.51,-4.2,48.3,1.52,53.7,20,20,-0.5,-0.5,-0.5,-0.5,1,1,42,-0.2,50.4,1502,106.9,106.4,23.7,0.37,94.5
2015 Timberwolves,29,53,31,102.4,106,64.9,0.496,16.4,0.338,0.52,0.355,106.5,110.1,24.6,106.5,110.1,95.2,0.498,0.524,-3.6,49.7,1.56,54.9,12,15,-0.5,-0.5,-0.5,-0.5,1,2,31,-1.1,50.1,1463,108.1,109.1,21,0.349,94.6
2015 Pelicans,30,52,31,102.7,106.5,62.1,0.482,23.8,0.36,0.51,0.369,105.6,109.5,26.6,105.6,109.5,96.8,0.498,0.523,-3.8,47.2,1.65,53.7,22,13,-0.76,-0.05,-0.5,-0.5,2,1,34,-2.1,49.3,1482,103.3,104.9,26.8,0.35,98
2015 Knicks,32,50,33,98.4,101.1,62.5,0.471,21.5,0.346,0.479,0.341,104.6,107.6,27.2,104.6,107.6,93.4,0.483,0.487,-2.7,48.7,1.53,52.7,26,14,-2.19,2.31,-0.5,-0.5,2,1,31,-3.7,48.2,1374,104.7,108.7,24.7,0.348,96
2015 Thunder,55,27,59,110.2,102.9,62.6,0.524,23.7,0.349,0.474,0.342,113.1,105.6,25.8,113.1,105.6,96.7,0.524,0.484,7.3,54.6,1.44,56.5,13,30,-0.5,-0.5,5.51,0.97,1,1,47,0.8,49.9,1543,105,105.1,25.8,0.327,97.8
2015 Magic,35,47,36,102.1,103.7,64.7,0.492,22.2,0.35,0.503,0.359,105.1,106.8,23.9,105.1,106.8,96,0.5,0.513,-1.6,48.8,1.67,53.3,22,24,-0.04,-1.71,0.03,0.86,3,0,29,-6.5,46,1352,101.2,108,26.1,0.328,96.8
2015 76ers,10,72,16,97.4,107.6,56.5,0.476,27.5,0.339,0.5,0.359,98.8,109.2,23.3,98.8,109.2,97.9,0.487,0.51,-10.2,42.8,1.31,51.9,17,15,-0.5,-0.5,-0.5,-0.5,3,1,28,-5.7,47,1338,100.7,106.4,29.8,0.34,98.5
2015 Suns,23,59,24,100.9,107.5,59.8,0.472,25.8,0.348,0.505,0.377,102.2,109,26,102.2,109,98.5,0.487,0.523,-6.6,45,1.21,52.6,10,10,-0.5,-0.5,-0.5,-0.5,3,0,24,-5.6,46.2,1340,103.9,109.3,22.6,0.332,100.3
2015 Trail Blazers,44,38,43,105.1,104.3,57.4,0.49,28.5,0.37,0.484,0.371,108.8,108,24.3,108.8,108,96,0.511,0.503,0.8,49.3,1.46,54.8,22,15,-1.84,0.23,-0.5,-0.5,0,2,41,-0.6,49.3,1563,107.8,107.8,27.7,0.375,96.7
2015 Kings,33,49,34,106.6,109.1,64,0.5,22.4,0.359,0.508,0.366,106,108.4,26.6,106,108.4,100,0.51,0.521,-2.5,49.4,1.52,54.6,14,21,-0.5,-0.5,0.7,-1.78,3,1,32,-3.9,47.8,1393,104.6,109.1,23.9,0.376,94.9
2015 Spurs,67,15,67,103.5,92.9,64.4,0.515,18.5,0.375,0.47,0.331,110.3,99,30.3,110.3,99,93.8,0.526,0.477,10.6,57.8,1.88,56.4,19,12,0.65,3.07,-0.5,-0.5,0,2,61,7.2,55.1,1661,108.8,100.9,23.5,0.391,94.2
2015 Raptors,56,26,53,102.7,98.2,58,0.483,23.4,0.37,0.473,0.373,110,105.2,26.3,110,105.2,92.9,0.504,0.498,4.5,52.5,1.43,55.2,13,21,-0.5,-0.5,-0.5,-0.5,0,2,51,4.3,51.6,1600,109.8,104.9,24.3,0.363,94.7
2015 Jazz,40,42,46,97.7,95.9,56.5,0.488,23.9,0.355,0.48,0.357,105.9,103.9,24.2,105.9,103.9,91,0.501,0.495,1.8,50.8,1.27,54,15,15,-0.5,-0.5,-0.5,-0.5,0,2,51,3.9,53.4,1617,107.4,102.7,26,0.372,91.6
2015 Wizards,41,41,40,104.1,104.6,61.6,0.501,24.2,0.358,0.498,0.371,105.3,105.8,27.3,105.3,105.8,98.5,0.511,0.515,-0.5,49.7,1.69,54.4,13,19,-0.5,-0.5,-0.5,-0.5,0,2,49,1.8,51.1,1587,108.5,106.9,24.8,0.372,97.4
